"Председатель комиссии, эксперт высшей квалификации, зам.генерального диерктора по экспертизе промышленной безопасности, удостоверение №НОА-02-2554 до 28.06.2015 г.",Иванов Н.С.
"Ведущий эксперт, удостоверение №НОФ-02-3096 до 07.12.2005 г.",Стдоров П.В.
"Эскперт, удостоверение №НОФ-02-3097 до 07.12.2005 г",Петров А.Ю.
"Эскперт, удостоверение №НОФ-02-3098 до 07.12.2005 г",Васильев Н.М.
"Специалист, аттестованый в объеме, соответствующим должностным обязанностям, удостоверение №НОФ-02-3099 до 07.12.2005 г, заведующий лабораторией отдела №9",Иванченко С.Г.
